"a"	"b"	"w"	"x1"	"y1"	"x2"	"y2"
"11_10"	"13_1"	0.143019935349772	11	0.751484612856752	13	0.173648191269544
"11_11"	"13_1"	0.16454726618037	11	0.378698404902879	13	0.173648191269544
"11_1"	"13_2"	0.72235977467914	11	0.582619083410207	13	0.582619083410207
"11_2"	"13_2"	0.156354331054351	11	0.83834761676201	13	0.582619083410207
"11_3"	"13_2"	0.169734365706393	11	0.439587343757806	13	0.582619083410207
"11_4"	"13_2"	0.142570920156512	11	0.495756079504949	13	0.582619083410207
"11_5"	"13_2"	0.234378512896263	11	0.653731556000372	13	0.582619083410207
"11_6"	"13_2"	0.176567196549243	11	0.704411947933681	13	0.582619083410207
"11_7"	"13_2"	0.149953324873297	11	0.239667677804996	13	0.582619083410207
"11_8"	"13_2"	0.191999926838516	11	0.605782551118276	13	0.582619083410207
"11_9"	"13_2"	0.262845816274824	11	0.326530681710254	13	0.582619083410207
"11_10"	"13_2"	0.170170805036547	11	0.751484612856752	13	0.582619083410207
"11_11"	"13_2"	0.178581672364051	11	0.378698404902879	13	0.582619083410207
"11_1"	"13_3"	0.189285285579472	11	0.582619083410207	13	0.81422574454911
"11_2"	"13_3"	0.0902040860912869	11	0.83834761676201	13	0.81422574454911
"11_3"	"13_3"	0.108115694146507	11	0.439587343757806	13	0.81422574454911
"11_4"	"13_3"	0.110478446571021	11	0.495756079504949	13	0.81422574454911
"11_5"	"13_3"	0.233373798066399	11	0.653731556000372	13	0.81422574454911
"11_6"	"13_3"	0.0934214197846548	11	0.704411947933681	13	0.81422574454911
"11_7"	"13_3"	0.13116396787151	11	0.239667677804996	13	0.81422574454911
"11_8"	"13_3"	0.110744305081005	11	0.605782551118276	13	0.81422574454911
"11_9"	"13_3"	0.145896608799675	11	0.326530681710254	13	0.81422574454911
"11_10"	"13_3"	0.466924210162559	11	0.751484612856752	13	0.81422574454911
"11_11"	"13_3"	0.113473365416283	11	0.378698404902879	13	0.81422574454911
"11_1"	"13_4"	0.142507525816057	11	0.582619083410207	13	0.901088748454369
"11_2"	"13_4"	0.677967017077093	11	0.83834761676201	13	0.901088748454369
"11_3"	"13_4"	0.113985696672801	11	0.439587343757806	13	0.901088748454369
"11_4"	"13_4"	0.126521172530033	11	0.495756079504949	13	0.901088748454369
"11_5"	"13_4"	0.16711223045626	11	0.653731556000372	13	0.901088748454369
"11_6"	"13_4"	0.222899103598445	11	0.704411947933681	13	0.901088748454369
"11_7"	"13_4"	0.110066036906883	11	0.239667677804996	13	0.901088748454369
"11_8"	"13_4"	0.163417566580128	11	0.605782551118276	13	0.901088748454369
"11_9"	"13_4"	0.208281597185175	11	0.326530681710254	13	0.901088748454369
"11_10"	"13_4"	0.127382944292875	11	0.751484612856752	13	0.901088748454369
"11_11"	"13_4"	0.127985900376775	11	0.378698404902879	13	0.901088748454369
"11_1"	"13_5"	0.188689646854907	11	0.582619083410207	13	0.439587343757806
"11_2"	"13_5"	0.139997259776021	11	0.83834761676201	13	0.439587343757806
"11_3"	"13_5"	0.721383506123776	11	0.439587343757806	13	0.439587343757806
"11_4"	"13_5"	0.144827071825801	11	0.495756079504949	13	0.439587343757806
"11_5"	"13_5"	0.147525076505748	11	0.653731556000372	13	0.439587343757806
"11_6"	"13_5"	0.156973633592006	11	0.704411947933681	13	0.439587343757806
"11_7"	"13_5"	0.126676672405075	11	0.239667677804996	13	0.439587343757806
"11_8"	"13_5"	0.159727295574221	11	0.605782551118276	13	0.439587343757806
"11_9"	"13_5"	0.215359826613519	11	0.326530681710254	13	0.439587343757806
"11_10"	"13_5"	0.158018987253187	11	0.751484612856752	13	0.439587343757806
"11_11"	"13_5"	0.188455587419224	11	0.378698404902879	13	0.439587343757806
"11_1"	"13_6"	0.180172385303236	11	0.582619083410207	13	0.617336269030524
"11_2"	"13_6"	0.181048844174583	11	0.83834761676201	13	0.617336269030524
"11_3"	"13_6"	0.170704722640072	11	0.439587343757806	13	0.617336269030524
"11_4"	"13_6"	0.18885575136484	11	0.495756079504949	13	0.617336269030524
"11_5"	"13_6"	0.190422570025764	11	0.653731556000372	13	0.617336269030524
"11_6"	"13_6"	0.210494979653517	11	0.704411947933681	13	0.617336269030524
"11_7"	"13_6"	0.160835448318301	11	0.239667677804996	13	0.617336269030524
"11_8"	"13_6"	0.754400912976206	11	0.605782551118276	13	0.617336269030524
"11_9"	"13_6"	0.22052725211783	11	0.326530681710254	13	0.617336269030524
"11_10"	"13_6"	0.195932451564585	11	0.751484612856752	13	0.617336269030524
"11_11"	"13_6"	0.187500640339467	11	0.378698404902879	13	0.617336269030524
"11_1"	"13_7"	0.228532409674171	11	0.582619083410207	13	0.416423876049737
"11_2"	"13_7"	0.141179354101277	11	0.83834761676201	13	0.416423876049737
"11_3"	"13_7"	0.27711081470644	11	0.439587343757806	13	0.416423876049737
"11_4"	"13_7"	0.145078100181358	11	0.495756079504949	13	0.416423876049737
"11_5"	"13_7"	0.355401781249008	11	0.653731556000372	13	0.416423876049737
"11_6"	"13_7"	0.144946703400969	11	0.704411947933681	13	0.416423876049737
"11_7"	"13_7"	0.151939048267443	11	0.239667677804996	13	0.416423876049737
